DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
08/30/2020,169,242,null,0
08/31/2020,297,242,null,0
09/01/2020,279,243,null,0
09/02/2020,262,236,null,0
09/03/2020,256,237,null,0
09/04/2020,199,226,6000,0
09/05/2020,143,229,6000,0
09/06/2020,162,228,6000,0
09/07/2020,157,208,6000,0
09/08/2020,183,195,6000,0
09/09/2020,57,165,6000,0
09/10/2020,3,129,6000,0
